Iterations 	 Error 
582	1.78632e-09
583	1.78238e-09
584	1.77847e-09
585	1.7746e-09
586	1.77075e-09
587	1.76693e-09
588	1.76314e-09
589	1.75938e-09
590	1.75565e-09
591	1.75195e-09
592	1.74827e-09
593	1.74463e-09
594	1.74102e-09
595	1.73743e-09
596	1.73388e-09
597	1.73035e-09
598	1.72685e-09
599	1.72338e-09
600	1.71994e-09
601	1.71653e-09
602	1.71315e-09
603	1.70979e-09
604	1.70647e-09
605	1.70317e-09
606	1.6999e-09
607	1.69666e-09
608	1.69344e-09
609	1.69026e-09
610	1.6871e-09
611	1.68397e-09
612	1.68087e-09
613	1.67779e-09
614	1.67475e-09
615	1.67173e-09
616	1.66873e-09
617	1.66577e-09
618	1.66283e-09
619	1.65992e-09
620	1.65703e-09
621	1.65418e-09
622	1.65135e-09
623	1.64854e-09
624	1.64576e-09
625	1.64301e-09
626	1.64029e-09
627	1.63759e-09
628	1.63492e-09
629	1.63227e-09
630	1.62965e-09
631	1.62706e-09
632	1.62449e-09
633	1.62195e-09
634	1.61943e-09
635	1.61694e-09
636	1.61447e-09
637	1.61203e-09
638	1.60962e-09
639	1.60722e-09
640	1.60486e-09
641	1.60252e-09
642	1.6002e-09
643	1.59791e-09
644	1.59564e-09
645	1.5934e-09
646	1.59118e-09
647	1.58898e-09
648	1.58681e-09
649	1.58467e-09
650	1.58254e-09
651	1.58044e-09
652	1.57837e-09
653	1.57631e-09
654	1.57429e-09
655	1.57228e-09
656	1.5703e-09
657	1.56834e-09
658	1.5664e-09
659	1.56448e-09
660	1.56259e-09
661	1.56072e-09
662	1.55887e-09
663	1.55705e-09
664	1.55525e-09
665	1.55347e-09
666	1.55171e-09
667	1.54997e-09
668	1.54825e-09
669	1.54656e-09
670	1.54489e-09
671	1.54323e-09
672	1.5416e-09
673	1.53999e-09
674	1.53841e-09
675	1.53684e-09
676	1.53529e-09
677	1.53376e-09
678	1.53226e-09
679	1.53077e-09
680	1.5293e-09
681	1.52786e-09
682	1.52643e-09
683	1.52502e-09
684	1.52363e-09
685	1.52227e-09
686	1.52092e-09
687	1.51959e-09
688	1.51828e-09
689	1.51698e-09
690	1.51571e-09
691	1.51446e-09
692	1.51322e-09
693	1.512e-09
694	1.5108e-09
695	1.50962e-09
696	1.50846e-09
697	1.50731e-09
698	1.50619e-09
699	1.50508e-09
700	1.50398e-09
701	1.50291e-09
702	1.50185e-09
703	1.50081e-09
704	1.49978e-09
705	1.49877e-09
706	1.49778e-09
707	1.49681e-09
708	1.49585e-09
709	1.49491e-09
710	1.49398e-09
711	1.49307e-09
712	1.49218e-09
713	1.4913e-09
714	1.49044e-09
715	1.48959e-09
716	1.48875e-09
717	1.48794e-09
718	1.48713e-09
719	1.48635e-09
720	1.48557e-09
721	1.48482e-09
722	1.48407e-09
723	1.48334e-09
724	1.48263e-09
725	1.48192e-09
726	1.48124e-09
727	1.48056e-09
728	1.4799e-09
729	1.47926e-09
730	1.47862e-09
731	1.478e-09
732	1.4774e-09
733	1.4768e-09
734	1.47622e-09
735	1.47565e-09
736	1.47509e-09
737	1.47455e-09
738	1.47402e-09
739	1.4735e-09
740	1.47299e-09
741	1.4725e-09
742	1.47201e-09
743	1.47154e-09
744	1.47108e-09
745	1.47063e-09
746	1.47019e-09
747	1.46976e-09
748	1.46935e-09
749	1.46894e-09
750	1.46854e-09
751	1.46816e-09
752	1.46779e-09
753	1.46742e-09
754	1.46707e-09
755	1.46672e-09
756	1.46639e-09
757	1.46606e-09
758	1.46575e-09
759	1.46544e-09
760	1.46515e-09
761	1.46486e-09
762	1.46458e-09
763	1.46431e-09
764	1.46405e-09
765	1.4638e-09
766	1.46356e-09
767	1.46332e-09
768	1.46309e-09
769	1.46287e-09
770	1.46266e-09
771	1.46246e-09
772	1.46226e-09
773	1.46208e-09
774	1.4619e-09
775	1.46172e-09
776	1.46156e-09
777	1.4614e-09
778	1.46125e-09
779	1.4611e-09
780	1.46096e-09
781	1.46083e-09
782	1.46071e-09
783	1.46059e-09
784	1.46048e-09
785	1.46037e-09
786	1.46027e-09
787	1.46017e-09
788	1.46008e-09
789	1.46e-09
790	1.45992e-09
791	1.45985e-09
792	1.45978e-09
793	1.45972e-09
794	1.45966e-09
795	1.4596e-09
796	1.45956e-09
797	1.45951e-09
798	1.45947e-09
799	1.45944e-09
800	1.45941e-09
801	1.45938e-09
802	1.45936e-09
803	1.45934e-09
804	1.45932e-09
805	1.45931e-09
806	1.4593e-09
807	1.45929e-09
808	1.45929e-09
809	1.45929e-09
810	1.4593e-09
811	1.45931e-09
812	1.45932e-09
813	1.45933e-09
814	1.45934e-09
815	1.45936e-09
816	1.45938e-09
817	1.4594e-09
818	1.45943e-09
819	1.45945e-09
820	1.45948e-09
821	1.45951e-09
822	1.45954e-09
823	1.45957e-09
824	1.45961e-09
825	1.45964e-09
826	1.45968e-09
827	1.45972e-09
828	1.45976e-09
829	1.45979e-09
830	1.45984e-09
831	1.45988e-09
832	1.45992e-09
833	1.45996e-09
834	1.46e-09
835	1.46004e-09
836	1.46009e-09
837	1.46013e-09
838	1.46017e-09
839	1.46021e-09
840	1.46026e-09
841	1.4603e-09
842	1.46034e-09
843	1.46038e-09
844	1.46042e-09
845	1.46046e-09
846	1.4605e-09
847	1.46053e-09
848	1.46057e-09
849	1.4606e-09
850	1.46064e-09
851	1.46067e-09
852	1.4607e-09
853	1.46073e-09
854	1.46076e-09
855	1.46078e-09
856	1.46081e-09
857	1.46083e-09
858	1.46085e-09
859	1.46087e-09
860	1.46088e-09
861	1.46089e-09
862	1.46091e-09
863	1.46091e-09
864	1.46092e-09
865	1.46092e-09
866	1.46092e-09
867	1.46092e-09
868	1.46091e-09
869	1.4609e-09
870	1.46089e-09
871	1.46088e-09
872	1.46086e-09
873	1.46084e-09
874	1.46081e-09
875	1.46078e-09
876	1.46075e-09
877	1.46071e-09
878	1.46067e-09
879	1.46063e-09
880	1.46058e-09
881	1.46053e-09
882	1.46048e-09
883	1.46042e-09
884	1.46035e-09
885	1.46028e-09
886	1.46021e-09
887	1.46013e-09
888	1.46005e-09
889	1.45996e-09
890	1.45987e-09
891	1.45977e-09
892	1.45967e-09
893	1.45957e-09
894	1.45946e-09
895	1.45934e-09
896	1.45922e-09
897	1.45909e-09
898	1.45896e-09
899	1.45882e-09
900	1.45868e-09
901	1.45853e-09
902	1.45838e-09
903	1.45822e-09
904	1.45805e-09
905	1.45788e-09
906	1.4577e-09
907	1.45752e-09
908	1.45733e-09
909	1.45714e-09
910	1.45694e-09
911	1.45673e-09
912	1.45652e-09
913	1.4563e-09
914	1.45607e-09
915	1.45584e-09
916	1.4556e-09
917	1.45536e-09
918	1.4551e-09
919	1.45485e-09
920	1.45458e-09
921	1.45431e-09
922	1.45403e-09
923	1.45375e-09
924	1.45345e-09
925	1.45316e-09
926	1.45285e-09
927	1.45254e-09
928	1.45222e-09
929	1.45189e-09
930	1.45155e-09
931	1.45121e-09
932	1.45086e-09
933	1.45051e-09
934	1.45014e-09
935	1.44977e-09
936	1.44939e-09
937	1.44901e-09
938	1.44861e-09
939	1.44821e-09
940	1.4478e-09
941	1.44739e-09
942	1.44696e-09
943	1.44653e-09
944	1.44609e-09
945	1.44564e-09
946	1.44519e-09
947	1.44472e-09
948	1.44425e-09
949	1.44377e-09
950	1.44329e-09
951	1.44279e-09
952	1.44229e-09
953	1.44177e-09
954	1.44125e-09
955	1.44072e-09
956	1.44019e-09
957	1.43964e-09
958	1.43909e-09
959	1.43853e-09
960	1.43796e-09
961	1.43738e-09
962	1.43679e-09
963	1.4362e-09
964	1.43559e-09
965	1.43498e-09
966	1.43436e-09
967	1.43373e-09
968	1.43309e-09
969	1.43244e-09
970	1.43179e-09
971	1.43112e-09
972	1.43045e-09
973	1.42977e-09
974	1.42908e-09
975	1.42838e-09
976	1.42767e-09
977	1.42696e-09
978	1.42623e-09
979	1.4255e-09
980	1.42475e-09
981	1.424e-09
982	1.42324e-09
983	1.42247e-09
984	1.42169e-09
985	1.4209e-09
986	1.4201e-09
987	1.4193e-09
988	1.41848e-09
989	1.41766e-09
990	1.41683e-09
991	1.41598e-09
992	1.41513e-09
993	1.41427e-09
994	1.4134e-09
995	1.41252e-09
996	1.41164e-09
997	1.41074e-09
998	1.40983e-09
999	1.40892e-09
1000	1.40799e-09
1001	1.40706e-09
1002	1.40612e-09
1003	1.40517e-09
1004	1.4042e-09
1005	1.40323e-09
1006	1.40226e-09
1007	1.40127e-09
1008	1.40027e-09
1009	1.39926e-09
1010	1.39825e-09
1011	1.39722e-09
1012	1.39619e-09
1013	1.39514e-09
1014	1.39409e-09
1015	1.39303e-09
1016	1.39196e-09
1017	1.39088e-09
1018	1.38979e-09
1019	1.38869e-09
1020	1.38758e-09
1021	1.38646e-09
1022	1.38534e-09
1023	1.3842e-09
1024	1.38306e-09
1025	1.3819e-09
1026	1.38074e-09
1027	1.37957e-09
1028	1.37838e-09
1029	1.37719e-09
1030	1.37599e-09
1031	1.37479e-09
1032	1.37357e-09
1033	1.37234e-09
1034	1.3711e-09
1035	1.36986e-09
1036	1.3686e-09
1037	1.36734e-09
1038	1.36607e-09
1039	1.36479e-09
1040	1.3635e-09
1041	1.3622e-09
1042	1.36089e-09
1043	1.35957e-09
1044	1.35824e-09
1045	1.35691e-09
1046	1.35556e-09
1047	1.35421e-09
1048	1.35285e-09
1049	1.35147e-09
1050	1.35009e-09
1051	1.3487e-09
1052	1.34731e-09
1053	1.3459e-09
1054	1.34448e-09
1055	1.34306e-09
1056	1.34162e-09
1057	1.34018e-09
1058	1.33873e-09
1059	1.33727e-09
1060	1.3358e-09
1061	1.33432e-09
1062	1.33284e-09
1063	1.33134e-09
1064	1.32984e-09
1065	1.32833e-09
1066	1.32681e-09
1067	1.32528e-09
1068	1.32374e-09
1069	1.3222e-09
1070	1.32064e-09
1071	1.31908e-09
1072	1.31751e-09
1073	1.31593e-09
1074	1.31434e-09
1075	1.31274e-09
1076	1.31114e-09
1077	1.30952e-09
1078	1.3079e-09
1079	1.30627e-09
1080	1.30463e-09
1081	1.30299e-09
1082	1.30133e-09
1083	1.29967e-09
1084	1.298e-09
1085	1.29632e-09
1086	1.29463e-09
1087	1.29294e-09
1088	1.29123e-09
1089	1.28952e-09
1090	1.2878e-09
1091	1.28608e-09
1092	1.28434e-09
1093	1.2826e-09
1094	1.28085e-09
1095	1.27909e-09
1096	1.27732e-09
1097	1.27555e-09
1098	1.27377e-09
1099	1.27198e-09
1100	1.27018e-09
1101	1.26838e-09
1102	1.26657e-09
1103	1.26475e-09
1104	1.26292e-09
1105	1.26108e-09
1106	1.25924e-09
1107	1.25739e-09
1108	1.25554e-09
1109	1.25367e-09
1110	1.2518e-09
1111	1.24992e-09
1112	1.24804e-09
1113	1.24614e-09
1114	1.24424e-09
1115	1.24234e-09
1116	1.24042e-09
1117	1.2385e-09
1118	1.23657e-09
1119	1.23464e-09
1120	1.2327e-09
1121	1.23075e-09
1122	1.22879e-09
1123	1.22683e-09
1124	1.22486e-09
1125	1.22288e-09
1126	1.2209e-09
1127	1.21891e-09
1128	1.21692e-09
1129	1.21491e-09
1130	1.2129e-09
1131	1.21089e-09
1132	1.20887e-09
1133	1.20684e-09
1134	1.2048e-09
1135	1.20276e-09
1136	1.20071e-09
1137	1.19866e-09
1138	1.1966e-09
1139	1.19453e-09
1140	1.19246e-09
1141	1.19038e-09
1142	1.1883e-09
1143	1.18621e-09
1144	1.18411e-09
1145	1.18201e-09
1146	1.1799e-09
1147	1.17779e-09
1148	1.17567e-09
1149	1.17355e-09
1150	1.17142e-09
1151	1.16928e-09
1152	1.16714e-09
1153	1.16499e-09
1154	1.16284e-09
1155	1.16068e-09
1156	1.15851e-09
1157	1.15634e-09
1158	1.15417e-09
1159	1.15199e-09
1160	1.1498e-09
1161	1.14761e-09
1162	1.14542e-09
1163	1.14322e-09
1164	1.14101e-09
1165	1.1388e-09
1166	1.13658e-09
1167	1.13436e-09
1168	1.13214e-09
1169	1.12991e-09
1170	1.12767e-09
1171	1.12543e-09
1172	1.12319e-09
1173	1.12094e-09
1174	1.11868e-09
1175	1.11642e-09
1176	1.11416e-09
1177	1.11189e-09
1178	1.10962e-09
1179	1.10734e-09
1180	1.10506e-09
1181	1.10278e-09
1182	1.10049e-09
1183	1.09819e-09
1184	1.0959e-09
1185	1.09359e-09
1186	1.09129e-09
1187	1.08898e-09
1188	1.08666e-09
1189	1.08434e-09
1190	1.08202e-09
1191	1.0797e-09
1192	1.07737e-09
1193	1.07503e-09
1194	1.0727e-09
1195	1.07035e-09
1196	1.06801e-09
1197	1.06566e-09
1198	1.06331e-09
1199	1.06096e-09
1200	1.0586e-09
1201	1.05623e-09
1202	1.05387e-09
1203	1.0515e-09
1204	1.04913e-09
1205	1.04675e-09
1206	1.04437e-09
1207	1.04199e-09
1208	1.03961e-09
1209	1.03722e-09
1210	1.03483e-09
1211	1.03244e-09
1212	1.03004e-09
1213	1.02764e-09
1214	1.02524e-09
1215	1.02283e-09
1216	1.02043e-09
1217	1.01802e-09
1218	1.0156e-09
1219	1.01319e-09
1220	1.01077e-09
1221	1.00835e-09
1222	1.00593e-09
1223	1.0035e-09
1224	1.00107e-09
1225	9.98643e-10
